timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1665919159846,192,GetSingleUser,200,OK,Thread Group 1-83,text,true,,948,381,250,250,https://reqres.in/api/users/2,192,0,0
1665919159851,191,GetSingleUser,200,OK,Thread Group 1-17,text,true,,948,381,250,250,https://reqres.in/api/users/2,191,0,0
1665919159847,196,GetSingleUser,200,OK,Thread Group 1-6,text,true,,946,381,250,250,https://reqres.in/api/users/2,196,0,0
1665919158434,1612,PatchUser,200,OK,Thread Group 1-43,text,true,,775,471,250,250,https://reqres.in/api/users/2,1612,0,0
1665919158507,1539,PostUser,201,Created,Thread Group 1-115,text,true,,752,461,250,250,https://reqres.in/api/users,1539,0,0
1665919158771,1276,Homepage,200,OK,Thread Group 1-206,text,true,,7782,441,250,250,https://reqres.in/,1276,0,0
1665919159605,442,GetAllUsers,200,OK,Thread Group 1-135,text,true,,1783,772,250,250,https://reqres.in/api/users?page=2,245,0,0
1665919159605,245,GetAllUsers-0,301,Moved Permanently,Thread Group 1-135,,true,,664,386,250,250,http://reqres.in/api/users?page=2,245,0,0
1665919159850,197,GetAllUsers-1,200,OK,Thread Group 1-135,text,true,,1119,386,250,250,https://reqres.in/api/users?page=2,197,0,0
1665919158548,1500,GetSingleUser,200,OK,Thread Group 1-11,text,true,,956,381,250,250,https://reqres.in/api/users/2,1500,0,0
1665919159855,196,GetSingleUser,200,OK,Thread Group 1-237,text,true,,948,381,250,250,https://reqres.in/api/users/2,196,0,0
1665919159645,406,GetAllUsers,200,OK,Thread Group 1-164,text,true,,1787,772,250,250,https://reqres.in/api/users?page=2,219,0,0
1665919159645,219,GetAllUsers-0,301,Moved Permanently,Thread Group 1-164,,true,,666,386,250,250,http://reqres.in/api/users?page=2,219,0,0
1665919159864,187,GetAllUsers-1,200,OK,Thread Group 1-164,text,true,,1121,386,250,250,https://reqres.in/api/users?page=2,187,0,0
1665919159856,200,GetSingleUser,200,OK,Thread Group 1-223,text,true,,952,381,250,250,https://reqres.in/api/users/2,200,0,0
1665919159865,193,GetSingleUser,200,OK,Thread Group 1-133,text,true,,948,381,250,250,https://reqres.in/api/users/2,193,0,0
1665919159863,196,GetSingleUser,200,OK,Thread Group 1-1,text,true,,948,381,250,250,https://reqres.in/api/users/2,196,0,0
1665919159862,198,GetSingleUser,200,OK,Thread Group 1-14,text,true,,942,381,250,250,https://reqres.in/api/users/2,198,0,0
1665919159654,408,GetAllUsers,200,OK,Thread Group 1-89,text,true,,1793,772,250,250,https://reqres.in/api/users?page=2,219,0,0
1665919159654,219,GetAllUsers-0,301,Moved Permanently,Thread Group 1-89,,true,,668,386,250,250,http://reqres.in/api/users?page=2,219,0,0
1665919159873,189,GetAllUsers-1,200,OK,Thread Group 1-89,text,true,,1125,386,250,250,https://reqres.in/api/users?page=2,189,0,0
1665919159643,423,GetAllUsers,200,OK,Thread Group 1-104,text,true,,1785,772,250,250,https://reqres.in/api/users?page=2,226,0,0
1665919159643,226,GetAllUsers-0,301,Moved Permanently,Thread Group 1-104,,true,,660,386,250,250,http://reqres.in/api/users?page=2,226,0,0
1665919159869,197,GetAllUsers-1,200,OK,Thread Group 1-104,text,true,,1125,386,250,250,https://reqres.in/api/users?page=2,197,0,0
1665919159649,419,GetAllUsers,200,OK,Thread Group 1-118,text,true,,1783,772,250,250,https://reqres.in/api/users?page=2,224,0,0
1665919159649,224,GetAllUsers-0,301,Moved Permanently,Thread Group 1-118,,true,,664,386,250,250,http://reqres.in/api/users?page=2,224,0,0
1665919159873,195,GetAllUsers-1,200,OK,Thread Group 1-118,text,true,,1119,386,250,250,https://reqres.in/api/users?page=2,195,0,0
1665919159415,654,Homepage,200,OK,Thread Group 1-194,text,true,,7828,441,250,250,https://reqres.in/,654,0,0
1665919159502,570,PutUser,200,OK,Thread Group 1-109,text,true,,804,469,250,250,https://reqres.in/api/users/2,570,0,0
1665919158462,1611,GetAllUsers,200,OK,Thread Group 1-100,text,true,,1791,772,250,250,https://reqres.in/api/users?page=2,357,0,0
1665919158462,357,GetAllUsers-0,301,Moved Permanently,Thread Group 1-100,,true,,662,386,250,250,http://reqres.in/api/users?page=2,357,0,0
1665919158819,1254,GetAllUsers-1,200,OK,Thread Group 1-100,text,true,,1129,386,250,250,https://reqres.in/api/users?page=2,1254,0,0
1665919159506,568,PostUser,201,Created,Thread Group 1-85,text,true,,741,461,250,250,https://reqres.in/api/users,568,0,0
1665919159491,588,PatchUser,200,OK,Thread Group 1-231,text,true,,777,471,250,250,https://reqres.in/api/users/2,588,0,0
1665919156401,3678,GetAllUsers,200,OK,Thread Group 1-153,text,true,,1783,772,250,250,https://reqres.in/api/users?page=2,1235,0,0
1665919156401,1235,GetAllUsers-0,301,Moved Permanently,Thread Group 1-153,,true,,658,386,250,250,http://reqres.in/api/users?page=2,1235,0,0
1665919157636,2443,GetAllUsers-1,200,OK,Thread Group 1-153,text,true,,1125,386,250,250,https://reqres.in/api/users?page=2,2443,0,0
1665919159511,575,PatchUser,200,OK,Thread Group 1-188,text,true,,777,471,250,250,https://reqres.in/api/users/2,575,0,0
1665919159556,531,PostUser,201,Created,Thread Group 1-110,text,true,,752,461,250,250,https://reqres.in/api/users,530,0,0
1665919158759,1329,GetAllUsers,200,OK,Thread Group 1-226,text,true,,1787,772,250,250,https://reqres.in/api/users?page=2,1127,0,0
1665919158759,1127,GetAllUsers-0,301,Moved Permanently,Thread Group 1-226,,true,,664,386,250,250,http://reqres.in/api/users?page=2,1127,0,0
1665919159886,202,GetAllUsers-1,200,OK,Thread Group 1-226,text,true,,1123,386,250,250,https://reqres.in/api/users?page=2,202,0,0
1665919159672,417,GetAllUsers,200,OK,Thread Group 1-87,text,true,,1795,772,250,250,https://reqres.in/api/users?page=2,216,0,0
1665919159672,216,GetAllUsers-0,301,Moved Permanently,Thread Group 1-87,,true,,666,386,250,250,http://reqres.in/api/users?page=2,216,0,0
1665919159888,201,GetAllUsers-1,200,OK,Thread Group 1-87,text,true,,1129,386,250,250,https://reqres.in/api/users?page=2,201,0,0
1665919159452,639,Homepage,200,OK,Thread Group 1-59,text,true,,7821,441,250,250,https://reqres.in/,639,0,0
1665919159514,582,UserLogin,200,OK,Thread Group 1-62,text,true,,688,481,250,250,https://reqres.in/api/login,582,0,0
1665919159517,578,PutUser,200,OK,Thread Group 1-107,text,true,,796,469,250,250,https://reqres.in/api/users/2,578,0,0
